2025-09-19 09:12:07,269 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/me
2025-09-19 09:12:07,269 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/me
2025-09-19 10:51:36,083 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 10:51:36,083 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 10:51:36,083 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 10:51:36,083 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 10:55:50,003 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 10:55:50,003 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 10:55:50,004 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 10:55:50,004 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:19:10,335 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:19:10,335 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:19:10,335 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:19:10,335 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:26:11,451 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:26:11,451 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:26:11,452 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:26:11,452 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:30:10,144 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:30:10,144 - SECURITY - WARNING - Security Event: LOGIN_FAILED | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:30:10,144 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:30:10,144 - SECURITY - ERROR - Security Event: LOGIN_ERROR | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/auth/login
2025-09-19 11:35:52,453 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 11:35:52,453 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 11:36:00,297 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 11:36:00,297 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 11:38:19,670 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 11:38:19,670 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:24:48,481 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:24:48,481 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:25:10,434 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:25:10,434 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:25:28,397 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:25:28,397 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:34:17,403 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:34:17,403 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:44:36,858 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:44:36,858 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:44:47,335 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:44:47,335 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:44:52,696 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
2025-09-19 15:44:52,696 - SECURITY - CRITICAL - Security Event: POTENTIAL_ATTACK | User: None | IP: 127.0.0.1 | Endpoint: /api/v1/projects/
